"","Species","Status","Interactivity","Availability","continents","regions","biomes","maturity","gestation","class","order","family","genus","image_link","compatible","version"
"1","African Savannah Elephant","Endangered","Full","Standard","Africa","Sub Saharan Africa: Kenya, Tanzania, Botswana, Zimbabwe, Namibia, Angola","Desert,Grassland","15 years","22 months","Mammalia","Proboscidea","Elephantidae","Loxodonta",NA,"","Standard"
"2","Grizzly Bear","Least concern","Full","Standard","North America","Canada, Northern USA (mostly Alaska)","Taiga,Temperate,Tundra","8 years","8 months","Mammalia","Carnivora","Ursidae","Ursus",NA,"","Standard"
"3","West African Lion","Critically endangered","Full","Standard","Africa","Senegal, Mali, Niger","Grassland","3 years","3 months","Mammalia","Carnivora","Felidae","Panthera",NA,"","Standard"
"4","Plains Zebra","Near threatened","Full","Standard","Africa","Eastern and Southern Africa","Grassland","4 years","13 months","Mammalia","Perissodactyla","Equidae","Equus",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Reticulated Giraffe,Sable Antelope,Scimitar-Horned Oryx,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"5","Hippopotamus","Vulnerable","Full","Standard","Africa","Sub Saharan Africa, all countries","Aquatic,Grassland","6 years","8 months","Mammalia","Artiodactyla","Hippopotamidae","Hippopotamus",NA,"Red River Hog","Standard"
"6","Timber Wolf","Least concern","Full","Standard","Europe, Asia, North America","Much of the Northern Hemisphere","Taiga,Temperate,Tundra","4 years","2 months","Mammalia","Carnivora","Canidae","Canis",NA,"","Standard"
"7","Ring Tailed Lemur","Endangered","Full","Standard","Africa","Madagascar","Tropical","3 years","4 months","Mammalia","Primates","Lemuridae","Lemur",NA,"Black-and-White Ruffed Lemur,Red Ruffed Lemur","Standard"
"8","Galapagos Giant Tortoise","Vulnerable","Full","Standard","South America","Galapagos Islands","Tropical","22 years","8 months","Reptilia","Testudines","Testudinidae","Chelonoidis",NA,"Capybara","Standard"
"9","Reticulated Giraffe","Endangered","Full","Standard","Africa","Somalia, Ethiopia, Kenya","Tropical,Grassland","4 years","15 months","Mammalia","Artiodactyla","Giraffidae","Giraffa",NA,"African Buffalo,Black Wildebeest,Blue Wildebeest,Common Ostrich,Common Warthog,Nile Lechwe,Plains Zebra,Sable Antelope,Scimitar-Horned Oryx,Southern White Rhinoceros,Springbok,Thomson's Gazelle","Standard"
"10","Western Chimpanzee","Critically endangered","Full","Standard","Africa","Guinea, Senegal, Liberia, Sierra Leone, Ivory Coast","Tropical","14 years","8 months","Mammalia","Primates","Hominidae","Pan",NA,"Red River Hog","Standard"
"11","Pygmy Hippo","Endangered","Full","Deluxe","Africa","Sierra Leone, Liberia, Guinea, Ivory Coast","Aquatic,Tropical","4.5 years","7 months","Mammalia","Artiodactyla","Hippopotamidae","Hexaprotodon",NA,"Red River Hog","Deluxe"
